Année;Température moyenne annuelle;URL Bulletin annuel
1988;12.45;
1900;11.58;
1951;11.37;
1916;10.99;
1995;12.9;
1960;11.76;
1890;9.97;
1984;11.77;
1991;11.86;
1891;10.39;
1971;11.79;
2024;13.5;https://www.apc-paris.com/app/uploads/2025/01/Bulletin-climatique-MF-2024-1.pdf
2007;13.02;
1904;10.92;
1969;11.73;
1901;10.54;
1873;10.69;
1913;11.28;
1924;10.73;
1950;11.57;
1985;11.14;
1914;11.12;
1997;12.93;
1879;8.74;
1980;11.17;
1999;13.11;
1898;11.24;
1915;10.99;
2010;11.8;
1908;10.47;
2011;13.74;
1993;11.93;
1998;12.44;
1875;10.85;
1937;11.88;
1947;12.39;
1946;11.12;
1909;10.21;
1927;10.91;
1944;11.27;
1929;11.05;
1896;10.52;
1887;9.73;
1986;11.33;
1943;11.99;
1958;11.54;
1888;9.84;
1948;11.75;
1917;9.97;
1949;12.36;
1965;11.14;
2005;12.79;
1926;11.44;
1931;10.79;
1878;10.7;
1933;11.28;
1889;10.32;
1975;11.83;
1966;11.92;
1987;11.19;
2002;13.05;
1961;12.53;
1903;10.74;
1963;10.29;
1967;11.89;
1996;11.41;
1990;13.13;
1876;11.2;
1897;11.21;
1938;11.69;
1902;10.38;
2014;13.68;https://www.apc-paris.com/app/uploads/2023/12/apc-bulletin-annuel-2014.pdf
1919;10.41;
1972;11.26;
1893;11.43;
2022;14.3;https://www.apc-paris.com/app/uploads/2023/12/mf-bulletinclimatique-annee-2022-1.pdf
1892;10.77;
1911;11.88;
1894;11.09;
2001;12.61;
1945;12.24;
1983;12.37;
2008;12.47;
2015;13.47;https://www.apc-paris.com/app/uploads/2023/12/bulletin-clim-annuel-2015-apc-1.pdf
2023;14.27;https://www.apc-paris.com/app/uploads/2024/01/MF-BulletinClimatique_annee-2023.pdf
2018;13.91;https://www.apc-paris.com/app/uploads/2023/12/masque-mf-bulletinclimatique-annee-2018.pdf
2021;12.86;https://www.apc-paris.com/app/uploads/2024/03/MF-BulletinClimatique_annee-2021_proAPC.pdf
1912;11.01;
1955;11.32;
1906;11.12;
1934;12.01;
1970;11.64;
1923;11.15;
1964;11.57;
2009;12.69;
1907;10.78;
1895;10.72;
2000;12.93;
2020;14.28;https://www.apc-paris.com/app/uploads/2023/12/mf-bulletinclimatique-annee-2020-fine.pdf
1922;10.45;
1885;10.51;
2019;13.66;https://www.apc-paris.com/app/uploads/2023/12/mf-bulletinclimatique-annee-2019.pdf
1880;11.05;
1978;11.11;
2016;12.87;https://www.apc-paris.com/app/uploads/2023/12/bulletin-clim-annuel-2016-apc.pdf
1920;11.16;
1956;10.42;
1881;10.19;
1973;11.78;
1968;11.22;
1942;10.9;
1979;11.11;
1910;10.92;
1899;11.34;
1974;12.02;
1977;11.81;
1925;10.63;
2003;13.23;
1994;13.14;
1992;12.39;
2017;13.39;https://www.apc-paris.com/app/uploads/2023/12/mf-bulletinclimatique-annee-2017.pdf
1918;11.18;
1981;11.82;
1989;12.98;
1939;11.4;
1928;11.83;
1935;11.44;
1874;10.94;
1954;11.07;
1882;10.91;
1883;10.82;
1962;10.65;
1905;10.5;
1930;11.68;
2006;13.02;
2012;12.71;https://www.apc-paris.com/app/uploads/2023/12/bulletin-clim-annuel-2012.pdf
1941;10.8;
2013;12.2;https://www.apc-paris.com/app/uploads/2023/12/apc-bulletin-annuel-2013-maj.pdf
1921;12.11;
1877;11.05;
1952;11.37;
2004;12.51;
1940;10.7;
1976;12.49;
1982;12.41;
1957;11.69;
1953;11.72;
1959;12.8;
1884;11.49;
1936;11.37;
1886;11.08;
1932;11.35;
